Hour;Type;Percentage of total;Prijs [euros]
0;East;0;41
1;East;0;40
2;East;0;39
3;East;1;40
4;East;2;47
5;East;4;54
6;East;8;58
7;East;16;61
8;East;24;60
9;East;26;55
10;East;25;52
11;East;23;51
12;East;15;50
13;East;7;51
14;East;4;58
15;East;2;61
16;East;1,5;62
17;East;1;61
18;East;1;56
19;East;0;53
20;East;0;50
21;East;0;47
22;East;0;44
23;East;0;41
0;West;0;41
1;West;0;40
2;West;0;39
3;West;1;40
4;West;2;47
5;West;3;54
6;West;6;58
7;West;13;61
8;West;21;60
9;West;25;55
10;West;26;52
11;West;24;51
12;West;17;50
13;West;8;51
14;West;5;58
15;West;2;61
16;West;1,5;62
17;West;1;62
18;West;1;56
19;West;0;53
20;West;0;50
21;West;0;47
22;West;0;44
23;West;0;41